timestamp,sensor,network_key,test_type_code,name,target,ssid,bssid,channel,frequency,rssi,dhcp_ip_address,dhcp_elapsed_time_seconds,dns_ip_address,dns_elapsed_time_seconds,latency,jitter,packet_loss,http_get_elapsed_time_seconds,download_speed,upload_speed
2020-05-01 23:33:22.449205+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,Service Now,ukrc.service-now.com:443,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-47,,,,,34.9,1.98947368421,0.0,,,
2020-05-01 23:33:24.814879+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,HTTP_GET,Service Now,https://ukrc.service-now.com:443,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-48,,,,,,,,5.372,,
2020-05-01 23:33:30.497139+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,Trips,www.trips.uk.com:80,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-48,,,,,102.0,2.58421052632,0.0,,,
2020-05-01 23:33:32.882462+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,HTTP_GET,Trips,http://www.trips.uk.com:80,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-48,,,,,,,,0.434,,
2020-05-01 23:33:33.841046+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,Trips,www.trips.uk.com:443,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-49,,,,,101.6,3.14210526316,0.0,,,
2020-05-01 23:33:36.250033+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,HTTP_GET,Trips,https://www.trips.uk.com:443,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-49,,,,,,,,0.403,,
2020-05-01 23:34:14.861382+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,AP_ASSOC,,,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-46,,,,,,,,,,
2020-05-01 23:34:21.378954+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,DNS_RESOLVE,,10.25.10.132,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-46,,,10.25.10.132,0.009,,,,,,
2020-05-01 23:34:25.465774+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,MailMarshal (DC1),10.25.13.253,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-47,,,,,10.5,0.968421052632,0.0,,,
2020-05-01 23:35:25.967822+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,CAFs ( Farnborough ) ,10.20.8.10,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-48,,,,,11.7,1.04736842105,0.0,,,
